,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
148,1902902,1902906,48.7508659362793,-18.78766632080078,66.40282,0.119706616,1.5521545,0.17439616,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
149,1902932,1902936,48.75028991699219,-18.78226852416992,141.63829,0.93914515,6.430176,1.2929748,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
150,1902937,1902941,48.75019454956055,-18.781368255615234,156.19762,1.249744,5.682953,1.6052468,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
151,1902947,1902951,48.75000762939453,-18.77956771850586,214.86589,24.831549,13.594666,15.921301,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
153,1903062,1903066,48.74782180786133,-18.758869171142575,75.67971,0.22149436,21.682823,0.35928696,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
154,1903172,1903176,48.74579620361328,-18.73906517028809,268.80716,0.893986,6.2838745,1.2428235,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
155,1903177,1903181,48.74570083618164,-18.7381649017334,265.1248,1.9841174,8.387634,2.683264,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
156,1903237,1903241,48.74460983276367,-18.72736167907715,239.84186,2.1824527,9.255981,3.0863373,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
157,1903242,1903246,48.74452209472656,-18.72646141052246,274.61496,69.12409,14.868103,19.835197,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
158,1899076,1899080,48.822078704833984,-19.47638893127441,13.203211,0.18879882,11.320491,0.31013396,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
160,1899086,1899090,48.8218879699707,-19.47458839416504,15.21156,0.80356383,9.1399555,0.39321232,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
161,1899091,1899095,48.82179260253906,-19.473690032958984,5.3131447,0.010729441,5.219433,0.020458493,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
162,1899096,1899100,48.82169723510742,-19.472789764404297,4.805991,0.011309664,5.776831,0.023946967,943,gt3l,processed_ATL08_20201124232633_09430914_004_01.h5
